> -L"antarctic_islands_coastlines"
-123.867726142	-74.2486009604
-123.883958789	-74.255166542
-123.886278858	-74.2561043884
-123.888599206	-74.2570422114
-123.890919834	-74.2579800109
-123.893240741	-74.2589177869
-123.896695565	-74.2582877682
-123.899016867	-74.2592254813
-123.901338449	-74.260163171
-123.907115197	-74.2604706448
-123.909437454	-74.2614082481
-123.91175999	-74.2623458279
-123.915214825	-74.2617155012
-123.917537755	-74.2626530181
-123.919860966	-74.2635905114
-123.923315749	-74.2629600503
-123.925639354	-74.2638974808
-123.927963239	-74.2648348877
-123.93141797	-74.2642042922
-123.93374225	-74.2651416362
-123.939521488	-74.2654482268
-123.941846442	-74.2663854843
-123.945300954	-74.2657546594
-123.947626303	-74.2666918539
-123.951080648	-74.266060934
-123.953406391	-74.2669980656
-123.95686057	-74.2663670507
-123.959186707	-74.2673041193
-123.96264072	-74.2666730094
-123.964967251	-74.267610015
-123.968421096	-74.2669788102
-123.970748022	-74.2679157527
-123.974201701	-74.2672844529
-123.97652902	-74.2682213324
-123.979982532	-74.2675899376
-123.982310246	-74.2685267541
-123.985763591	-74.2678952643
-123.988091699	-74.2688320177
-123.993873379	-74.2691371234
-123.99732639	-74.2685054437
-123.999655286	-74.2694420709
-124.003108129	-74.2688102963
-124.00543742	-74.2697468604
-124.008890096	-74.2691149908
-124.01121978	-74.2700514919
-124.014672289	-74.2694195273
-124.017002367	-74.2703559653
-124.020454708	-74.2697239057
-124.023906769	-74.2690917907
-124.027358548	-74.2684596202
-124.030810047	-74.2678273943
-124.034261264	-74.2671951128
-124.037712201	-74.2665627759
-124.041162858	-74.2659303835
-124.038831987	-74.2649942218
-124.04228225	-74.2643618134
-124.043401416	-74.2627932431
-124.041070881	-74.2618571128
-124.038740626	-74.2609209589
-124.036410653	-74.2599847813
-124.039859902	-74.2593524199
-124.037530096	-74.258416258
-124.03520057	-74.2574800725
-124.038649314	-74.2568477345
-124.036319955	-74.2559115648
-124.039768306	-74.2552792108
-124.043216375	-74.2546468014
-124.046664165	-74.2540143366
-124.050111674	-74.2533818164
-124.053558902	-74.2527492408
-124.05700585	-74.2521166098
-124.060452518	-74.2514839235
-124.058122652	-74.2505480061
-124.055793065	-74.2496120649
-124.059239228	-74.2489794021
-124.06268511	-74.2483466839
-124.066130712	-74.2477139103
-124.068460636	-74.2486497331
-124.07190607	-74.2480168648
-124.075351225	-74.2473839411
-124.078796098	-74.2467509621
-124.082240692	-74.2461179277
-124.079910319	-74.2451822626
-124.08335452	-74.2445492124
-124.086798441	-74.2439161069
-124.090242082	-74.243282946
-124.087911652	-74.2423473755
-124.0913549	-74.2417141988
-124.089024638	-74.2407786439
-124.092467494	-74.2401454514
-124.0901374	-74.2392099123
-124.093579865	-74.2385767038
-124.097022049	-74.2379434401
-124.094692011	-74.2370079561
-124.098133803	-74.2363746765
-124.101575315	-74.2357413417
